2017,love at the beginning,/poetsorg/poem/love-beginning,Andrés Montoya,Love
2017,Hunger,/poetsorg/poem/hunger-0,Kelli Russell Agodon,Love
2006,Valentine’s Afternoon,/poetsorg/poem/valentines-afternoon,Michael McFee,Love
2005,Late Bloomer,/poetsorg/poem/late-bloomer,Michele Wolf,Love
2017,Mistake,/poetsorg/poem/mistake,Heather Christle,Love
2017,Star Turn,/poetsorg/poem/star-turn,Graham Foust,Love
1917,Elegy,/poetsorg/poem/elegy-2,D. H. Lawrence,Love
1910,Vivien’s Song ,/poetsorg/poem/viviens-song,Alfred Lord Tennyson,Love
1914,A Lady,/poetsorg/poem/lady,Amy Lowell,Love
1916,Mystery,/poetsorg/poem/mystery-0,D. H. Lawrence,Love
1914,Δώρια,/poetsorg/poem/doria,Ezra Pound,Love
1920,To Love Impuissant,/poetsorg/poem/love-impuissant,Edna St. Vincent Millay,Love
2017,FaceTime,/poetsorg/poem/facetime,Clint Smith,Love
1916,A Winter's Tale,/poetsorg/poem/winters-tale,D. H. Lawrence,Love
1916,Vista,/poetsorg/poem/vista-0,Alfred Kreymborg,Love
2017,How Will I Address Him When He's Dead,/poetsorg/poem/how-will-i-address-him-when-hes-dead,Brian Phillip Whalen,Love
2017,[To find a kiss of yours],/poetsorg/poem/find-kiss-yours,Federico García Lorca,Love
1921,Demeter,/poetsorg/poem/demeter,H. D.,Love
1921,Simaetha,/poetsorg/poem/simaetha,H. D.,Love
1916,The Wild Common ,/poetsorg/poem/wild-common,D. H. Lawrence,Love
2017,Serenade ,/poetsorg/poem/serenade,Djuna Barnes,Love
2017,The Cliff Temple,/poetsorg/poem/cliff-temple,H. D.,Love
1916,Prisoners,/poetsorg/poem/prisoners,H. D.,Love
1916,The City is Peopled,/poetsorg/poem/city-peopled,H. D.,Love
2017,Socks,/poetsorg/poem/socks,Margaret Ross,Love
2017,Things Said To Be Ineffable,/poetsorg/poem/things-said-be-ineffable,Mark Yakich,Love
2015,picking flowers,/poetsorg/poem/picking-flowers,Nate Marshall,Love
2017,Daysleep,/poetsorg/poem/daysleep,Laura Kasischke,Love
2017,Gay Marriage Poem,/poetsorg/poem/gay-marriage-poem,Jenny Johnson ,Love
2017,All I Ever Wanted,/poetsorg/poem/all-i-ever-wanted,Katie Ford,Love
2017,Elsa Is Involved in a Clandestine Love Affair,/poetsorg/poem/elsa-involved-clandestine-love-affair,Angela Veronica Wong,Love
2017,Galaxy Love,/poetsorg/poem/galaxy-love,Gerald Stern,Love
2017,from Please Bury Me in This [I am not any closer...],/poetsorg/poem/please-bury-me-i-am-not-any-closer,Allison Benis White,Love
2017,"Love Elegy in the Chinese Garden, with Koi",/poetsorg/poem/love-elegy-chinese-garden-koi,Nathan McClain,Love
1862,A Triad,/poetsorg/poem/triad-0,Christina Rossetti,Love
2004,Heart to Heart,/poetsorg/poem/heart-heart,Rita Dove,Love
1997,Warscape with Lovers,/poetsorg/poem/warscape-lovers,Marilyn Krysl,Love
2017,Who Makes Love to Us After We Die ,/poetsorg/poem/who-makes-love-us-after-we-die,Diana Marie Delgado,Love
2016,San Sebastian,/poetsorg/poem/san-sebastian,Spencer Reece,Love
2016,Cattail History,/poetsorg/poem/cattail-history,Noah Warren,Love
1954,Re-Statement of Romance,/poetsorg/poem/re-statement-romance,Wallace Stevens,Love
1913,Love ,/poetsorg/poem/love-6,Rupert Brooke,Love
2017,"Songs to Joannes, V",/poetsorg/poem/songs-joannes-v,Mina Loy,Love
2016,Granadilla ,/poetsorg/poem/granadilla,Amy Lowell,Love
2016,Love Poem,/poetsorg/poem/love-poem-3,Susan Wheeler,Love
1996,Battery,/poetsorg/poem/battery,Anne Waldman,Love
2016,Love Songs (section III) ,/poetsorg/poem/love-songs-section-iii,Mina Loy,Love
2011,Bringing the Shovel Down,/poetsorg/poem/bringing-shovel-down,Ross Gay,Love
2016,The Symbolical Head (1883) as When Was the Last Time?,/poetsorg/poem/symbolical-head-1883-when-was-last-time,Kathryn Nuernberger ,Love
2016,Senior Discount,/poetsorg/poem/senior-discount,Ali Liebegott,Love
2016,The Cold Heaven ,/poetsorg/poem/cold-heaven,W. B. Yeats,Love
1913,Coldness in Love ,/poetsorg/poem/coldness-love-0,D. H. Lawrence,Love
2016,Astronomers Locate a New Planet,/poetsorg/poem/astronomers-locate-new-planet,Matthew Olzmann,Love
2005,Lunch Break,/poetsorg/poem/lunch-break,Francisco Aragón,Love
2012,The Dance,/poetsorg/poem/dance-0,Wendell Berry,Love
2015,The Pont Mirabeau,/poetsorg/poem/pont-mirabeau,Ron Padgett,Love
1848,Modern Love ,/poetsorg/poem/modern-love,John Keats,Love
2016,Blessings,/poetsorg/poem/blessings,Jay Parini,Love
2016,Black Storm Days,/poetsorg/poem/black-storm-days,Joshua Edwards,Love
1993,"[Body of a woman, white hills, white thighs]",/poetsorg/poem/body-woman-white-hills-white-thighs,Pablo Neruda,Love
1998,Scaffolding,/poetsorg/poem/scaffolding,Seamus Heaney,Love
2016,The Way One Animal Trusts Another ,/poetsorg/poem/way-one-animal-trusts-another,Carl Phillips,Love
2003,Resignation,/poetsorg/poem/resignation,Nikki Giovanni,Love
2015,American Pharoah,/poetsorg/poem/american-pharoah,Ada Limón,Love
,1 Corinthians 13:4–7,/poetsorg/poem/1-corinthians-134%E2%80%937,,Love
1914,"[Again and again, even though we know love’s landscape]",/poetsorg/poem/again-and-again-even-though-we-know-love%E2%80%99s-landscape,Rainer Maria Rilke,Love
1924,Untitled [Do you still remember: falling stars],/poetsorg/poem/untitled-do-you-still-remember-falling-stars,Rainer Maria Rilke,Love
1865,I Hid My Love,/poetsorg/poem/i-hid-my-love,John Clare,Love
1978,Twenty-One Love Poems [Poem III],/poetsorg/poem/twenty-one-love-poems-poem-iii,Adrienne Rich,Love
1986,On Marriage,/poetsorg/poem/marriage-0,Marilyn Hacker,Love
1999,A Great Need,/poetsorg/poem/great-need,,Love
2016,Mind-Body Problem ,/poetsorg/poem/mind-body-problem,Wayne Miller,Love
1942,Tin Wedding Whistle,/poetsorg/poem/tin-wedding-whistle,Ogden Nash,Love
2016,Causing an Accident ,/poetsorg/poem/causing-accident,Sarah Bartlett,Love
1989,Happenstance,/poetsorg/poem/happenstance,Rita Dove,Love
1999,This Union,/poetsorg/poem/union,,Love
2012,Their Secret Was,/poetsorg/poem/their-secret-was,Jalal al-Din Rumi,Love
1889,Now,/poetsorg/poem/now-0,Robert Browning,Love
1892,"We Two, How Long We Were Fool'd",/poetsorg/poem/we-two-how-long-we-were-foold,Walt Whitman,Love
2008,Falling,/poetsorg/poem/falling-0,Patrick Phillips,Love
2015,Golden Anniversary,/poetsorg/poem/golden-anniversary,Wislawa Szymborska,Love
2016,After You Have Vanished,/poetsorg/poem/after-you-have-vanished,Kevin Prufer,Love
1870,Marriage Morning,/poetsorg/poem/marriage-morning,Alfred Lord Tennyson,Love
2015,Love at First Sight,/poetsorg/poem/love-first-sight,Wislawa Szymborska,Love
1999,My Lover Is a Woman,/poetsorg/poem/my-lover-woman,Pat Parker,Love
1962,Love Comes Quietly,/poetsorg/poem/love-comes-quietly,Robert Creeley,Love
1987,Habitation,/poetsorg/poem/habitation,Margaret Atwood,Love
2016,Here,/poetsorg/poem/here-1,Kim Addonizio,Love
1914,To E,/poetsorg/poem/e,Sara Teasdale,Love
2013,Our House,/poetsorg/poem/our-house,Sophie Cabot Black,Love
2013,Love Poem,/poetsorg/poem/love-poem-1,Sophie Cabot Black,Love
2015,O Esperanza!,/poetsorg/poem/o-esperanza,Catherine Barnett,Love
2015,Redbone Dances,/poetsorg/poem/redbone-dances,Mahogany L. Browne,Love
